שם הצעת החוק,מדרג,מספר חוק,ניקוד לחוק,קישור להצעה,הסבר הדירוג,הערות אחרות,הגיע להצבעה?,עבר?,יוזם ראשון,חתומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הצעת חוק איסור הונאה בכשרות (תיקון - קיצור משך זמן ההחלטה בערעור), התשף-2020""",bignafcomp@gmail.com,פ/289/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085804,מקצר את פרק הזמן הארוך בו עסק צריך לחכות להחלטה של מונופול הכשרות הממשלתי,,0,0,אלעזר שטרן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אלעזר שטרן
"הצעת חוק הביטוח הלאומי (תיקון - דמי פגיעה לעצמאי), התשף-2020""",bignafcomp@gmail.com,פ/290/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085901,קשה לקבוע. מצד אחד מעלה את הנטל על משלמי המיסים. מצד שני מפביק עיוות אפשרי שמתרצץ אנשים לא להיות עצמאים (לא ברור שזה עיוות כי עצמאים משלמים מעט פחות עבור בט'ל מאשר שכירים [פלוס הפרשות מעסיק]),,0,0,איתן גינזבורג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,איתן גינזבורג
"הצעת חוק עבודת נשים (תיקון - תקופת לידה והורות להורה יחיד), התשף-2020""",bignafcomp@gmail.com,פ/291/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085909,"זו כפייה נוספת על מעסיקים, אבל ביטול אפלייה ממשלתית במצב הנוכחי. כמו כן, גם עלות נוספת דרך בט'ל.",,1,0,איתן גינזבורג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,איתן גינזבורג
"הצעת חוק בית המשפט לענייני משפחה (תיקון - בני הזוג מאותו המין), התשף-2020""",bignafcomp@gmail.com,פ/292/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085916,"מאפשר רשמית לבית הדין לענייני משפחה לדון במקרים של זוגות מאותו המין. הזוג יחליט אם הזוגף לא המדינה. ולכן כשהחליטו שהם זוג, הטיפול הוא כמו כל זוג אחר.",,0,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ניצן הורוביץ
"הצעת חוק עבודת נשים (תיקון - הוספת חלקו של חודש במניין), התשף-2020""",bignafcomp@gmail.com,פ/293/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085933,מאריך את חופשת הלידה במקרים מסויימים. תזכורת שחופשת הלידה נכפית על המעסיק ואינו יכול לפטרה.,,0,0,איתן גינזבורג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,איתן גינזבורג
"הצעת חוק עבודת נשים (תיקון - תקופת לידה והורות לבנות זוג מאותו המין), התשף-2020""",ypz1094@gmail.com,פ/294/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085937,,,0,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ניצן הורוביץ
"הצעת חוק הגנה על עובדים בעת אירוע חירום אזרחי, התשף-2020""",bignafcomp@gmail.com,פ/295/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085938,מציע כפייה על מעסיק לתת לעבוד לא להגיע לעבודה בזמן 'אירוע חירום אזרחי' בלי יכולת לפטרו בלי קשר למה שכתוב בחוזה העבודה. כמו כן מטיל עלין לשלם חלק מהשכר. חלק מהשכר מוטל על משלמי המיסים כמו גם 'פיצוי' לעצמאים.,,0,0,אלעזר שטרן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אלעזר שטרן
"הצעת חוק עבודת נשים (תיקון - תקופת לידה והורות לגבר), התשף-2020""",bignafcomp@gmail.com,פ/296/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085943,"מציע חופשת לידה לאב, 
 בנוסף לחופשת הלידה לאם שהאב כיום יכול לבחור לקחת חלק ממנה. עוד נטל על משלמי ביטוח לאומי והתערבות ביחסי עובד-מעביד",,0,0,איתן גינזבורג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,איתן גינזבורג
"הצעת חוק לימוד חובה (תיקון - תקופת שנת הלימודים וחופשות), התשף-2020""",bignafcomp@gmail.com,פ/297/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085952,"אידיאלית להפריט ובתי הספר יקבעו ןההורים יבחרו בבתי הספר המתאימים להם. כיום, ההצעה תגדיל את העלות למשלמי המיסים. ההמלצה שלוח החופשות יהיה ברור מראש, דווקא חיובית.",,0,0,איתן גינזבורג,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,איתן גינזבורג
"הצעת חוק הביטוח הלאומי (תיקון - השוואת קצבת הנכות לשכר מינימום), התשף-2020""",bignafcomp@gmail.com,פ/298/23,-3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085954,22,,1,0,ניצן הורוביץ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ניצן הורוביץ
"הצעת חוק ביטוח בריאות ממלכתי (תיקון - יצירת מדד לאומי לשוויון בשירותי בריאות), התשף-2020""",bignafcomp@gmail.com,פ/299/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085989,"להפריט. כל עוד המדינה מתעסקת בזה, לא ברור מה צריך לעשות.",,0,0,מיכאל מרדכי ביטון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיכאל מרדכי ביטון
"הצעת חוק הגנת הצרכן (תיקון - חובת הקלטה של עסקה טלפונית), התשף-2020""",bignafcomp@gmail.com,פ/300/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2085994,אם הצרכן רוצה שיקליט. אין להכריח אחרים. כפיית עלות נוספת לעסקים,,0,0,מירב כהן,קטי קטרין שטרית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מירב כהןקטי קטרין שטרית
"הצעת חוק קליטת חיילים משוחררים (תיקון - הקרן להעצמת המשרתים בשירות צבאי), התשף-2020""",,פ/301/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086010,ראה חוק פ/734/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2082202,,0,0,יואב קיש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,יואב קיש
"הצעת חוק לתיקון פקודת מס הכנסה (הטבות מס לעולים חדשים), התשף-2020""",kirill2785@gmail.com,פ/302/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086061,הטבות לעולים חדשים שאינן נוגעות ישירות להקלות בתהליכי קליטה באות על חשבון תנאים טובים כדי להיות מדינה אטרקטיבית לחיות בה בלי הטבות לעולים חדשים וחוזרים,,0,0,אלכס קושניר,עודד פורר,חמד עמאר,יבגני סובה,יוליה מלינובסקי קונין,אלי אבידר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אלכס קושנירעודד פוררחמד עמאריבגני סובהיוליה מלינובסקי קוניןאלי אבידר
"הצעת חוק לתיקון פקודת התעבורה (סמכות שוטר בעבירות הנוגעות לשימוש בטלפון נייד), התשף-2020""",kirill2785@gmail.com,פ/303/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086069,"הצעת חוק אנטי ליברלית (מבחינת חרות אישית) - מתן סמכות לשוטר לנתק קו טלפון (סלולר) ל24 שעות, לנהג שעשה שימוש בסלולרי בזמן הנהיגה, כי האכיפה כיום (מתן קנסות) לא מורידה את רמת העבירות. זו פגיעה גדולה מדי בחרות, שלא לדבר שאין הוכחה או אפילו טיעון שזה יוריד את השימוש בנייד בזמן הנהיגה.",,1,0,בועז טופורובסקי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,בועז טופורובסקי
"הצעת חוק בית הדין לעבודה (תיקון - ערעור לפני בית המשפט העליון), התשף-2020""",dup_laws_bot,פ/304/23,2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086138,בתי הדין לעבודה מוטים היום באופן חריג נגד המעסיק. היכולת לערער לערכאה גבוהה יותר תקטין את הנזק שהחלטות קיצוניות יוצרות. ראה חוק פ/1388/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2083469,,0,0,גדעון סער,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גדעון סער
"הצעת חוק יסודות התקציב (תיקון - הקצאת תקציבים ליישובים הדרוזים והצ'רקסים) (הוראת שעה), התשף-2020""",kirill2785@gmail.com,פ/305/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086240,"לכאורה הוצאה תקציבית
אבל בגלל שזו הוצאה חד פעמית על משהו יחסית הגיוני לתת ניקוד 0",,0,0,חמד עמאר,אביגדור ליברמן,עודד פורר,יבגני סובה,אלי אבידר,יוליה מלינובסקי קונין,אלכס קושניר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,חמד עמאראביגדור ליברמןעודד פורריבגני סובהאלי אבידריוליה מלינובסקי קוניןאלכס קושניר
"הצעת חוק שלילת תקצוב מוסדות חינוך המפלים תלמידים ברישום אליהם (תיקוני חקיקה), התשף-2020""",dup_laws_bot,פ/306/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087039,"החוק כופה קבלה ללימודים של תלמידים, בניגוד לרצון בעלי בית הספר ולכן הנו בלתי ליברלי ראה חוק פ/7/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081195",,0,0,מאיר כהן,יאיר לפיד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מאיר כהןיאיר לפיד
"הצעת חוק הפקדות וזכויות סוציאליות לעצמאים (תיקוני חקיקה), התשף-2020""",bignafcomp@gmail.com,פ/307/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086552,"דברי ההסבר טוענים שזה יאפשר חופש בחירה, אך בתיקוני החקיקה עצמם נראה שזה ייתן ביטוח עסקי ללא קשר לאירוע חיצוני בשביל 'אבטלה' לעצמאים. פחות מזיק מהצעות אחרות בתחום.",,0,0,מרב מיכאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מרב מיכאלי
"הצעת חוק פיצוי עסקים קטנים בשל אירועי איבה מתמשכים או מצב חירום כלכלי, התשף-2020""",kirill2785@gmail.com,פ/308/23,-3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087086,תמריצים רעים.,,1,0,עודד פורר,אביגדור ליברמן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עודד פורראביגדור ליברמן
"הצעת חוק למניעת אלימות כלכלית בין בני זוג ובני משפחה, התשף-2020""",kirill2785@gmail.com,פ/309/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086238,יש חסרונות ויתרונות בחוק.,,0,0,עומר ינקלביץ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עומר ינקלביץ'
"הצעת חוק הפעלת תחבורה ציבורית מצומצמת ביום המנוחה השבועי, התשף-2020""",dup_laws_bot,פ/310/23,3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086144,יז ראה חוק פ/105/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081186,,0,0,עידן רול,יאיר לפיד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עידן רוליאיר לפיד
"הצעת חוק הביטוח הלאומי (תיקון - השוואת קצבת נכות לשכר המינימום), התשף-2020""",kirill2785@gmail.com,פ/311/23,-3,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086180,מתנגד למתן גובה קצבה גורף על בסיס אקראי.,,1,0,קארין אלהרר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קארין אלהרר
"הצעת חוק מיסוי מקרקעין (שבח ורכישה) (תיקון - מס רכישה מופחת לעולה חדש), התשף-2020""",kirill2785@gmail.com,פ/312/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086087,"מי שרוצה לקנות דירה - עולה חדש, חייל שסיים שירות חובה, חייל בקבע, משקיע מחו'ל או מה שהוא לא יהיה - צריך לקבל תנאים זהים
אין סיבה שעולה חדש יקבל פטר ממס רכישה בזמן שחלק גדול מצעירי ישראל גרים בשכירות",,0,0,אלכס קושניר,עודד פורר,חמד עמאר,יבגני סובה,יוליה מלינובסקי קונין,אלי אבידר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אלכס קושנירעודד פוררחמד עמאריבגני סובהיוליה מלינובסקי קוניןאלי אבידר
"הצעת חוק בתי המשפט (תיקון - שימוע ובחירות חשאיות לשופטי בית המשפט העליון), התשף-2020""",kirill2785@gmail.com,פ/313/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086143,לא קשור לליברליות. קשור לממשל.משילות.,,0,0,גדעון סער,צבי האוזר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,גדעון סערצבי האוזר
"הצעת חוק זכויות התלמיד (תיקון - פיצוי בשל הפליית תלמידים), התשף-2020""",kirill2785@gmail.com,פ/314/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087042,יש לתת לבתי הספר חופש פעולה,אינו שונה ילד שנפסל מבית ספר כי אינו יכול לעמוד בתנאי סף לימודיים לזה שאינו עומד בתנאים אחרים,0,0,מאיר כהן,יאיר לפיד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מאיר כהןיאיר לפיד
הצעת חוק החברה למתנסים,dup_laws_bot,פ/315/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086125,קביעת תקן להכרה והסמכת מתנ'סים' 'תתאפשר לחברה יותר מעורבות ויוענקו לה יותר סמכויות' פלוס קביעת התקציב בחוק. כל אלה מהווים התערבות ממשלתית גבוהה יותר בתחום שצריך להיות מופרט לגמרי. ראה חוק פ/506/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081769,,0,0,מיכאל מרדכי ביטון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0מיכאל מרדכי ביטון
"הצעת חוק הבנקאות (שירות ללקוח) (תיקון - הגבלת עמלת ביטול עסקה בעד שירותי סליקה שמשלם עסק זעיר, קטן או בינוני), התשף-2020""",kirill2785@gmail.com,פ/316/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086286,"מרפרוף באינטרנט אני מקבל תחושה שהצעת חוק זו כבר לא כל כך רלוונטית.
עקב חוקים מסוימים כבר בוצעה הפרדה בין חברות האשראי/סליקה לבנקים. כמו כן לפי הבנתי כבר נכנסו לשוק שני שרותי סליקה נוספים, מה שמוסיף לתחרות, שעליה מתלונן כותב דברי ההסבר.",,0,0,מיקי לוי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיקי לוי
"הצעת חוק הרשויות המקומיות (בחירת ראש הרשות וסגניו וכהונתם) (תיקון - השעיית ראש רשות או סגנו שהוגש נגדו כתב אישום), התשף-2020""",kirill2785@gmail.com,פ/317/23,-1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086287,מאפשר 'הפלת' נבחר ציבור,,0,0,מיקי לוי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מיקי לוי
"הצעת חוק כרטיסי חיוב (תיקון - ביטול חיוב באשראי בשל עסקה עם ספק מפר), התשף-2020""",dup_laws_bot,פ/318/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086052,מניעת המשך תשלומים על ידי חברת אשראי לספקים שעברו על החוק ונאסר עליהם להמשיך לקיים עסקאות. סגירה של פרצה בחוק ראה חוק פ/1209/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2081434,,0,0,מירב כהן,קטי קטרין שטרית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מירב כהןקטי קטרין שטרית
"הצעת חוק הדגל, הסמל והמנון המדינה (תיקון - שלילת תמיכה), התשף-2020""",kirill2785@gmail.com,פ/319/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086412,זכותה של המדינה לדרוש דברים ממי שמקבל ממנה כסף.,,0,0,מכלוף מיקי זוהר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מכלוף מיקי זוהר
"הצעת חוק סיוע למשפחות שבראשן הורה עצמאי (תיקון - הרחבת התחולה), התשף-2020""",kirill2785@gmail.com,פ/320/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086378,"החוק לא משנה את הקצבאות שההורה אמור לקבל; הוא רק משווה את מעמדו של בית הדין הדתי לבית הדין האזרחי לגבי קבלת הקצבאות
בעיני יש פה הרחבה של התחרות בין בתי הדין לענייני משפחה
ולכן מדובר בחוק חיובי",,0,0,מרב מיכאלי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,מרב מיכאלי
"הצעת חוק הכשרות לאנשי מקצוע בנושא זיהוי ודיווח על התעללות בילדים, התשף-2020""",kirill2785@gmail.com,פ/321/23,1,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086242,"הכשרה מתאימה, מגנה בעקיפין על החופש של הילדים, מםני אלימות.",,0,0,עומר ינקלביץ',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עומר ינקלביץ'
"הצעת חוק הכנסת (תיקון - קביעת שכר חברי הכנסת בידי ועדה ציבורית), התשף-2020""",kirill2785@gmail.com,פ/322/23,0,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2087003,"קשור לממשל, לא לליברליות.",,1,0,עידן רול,יאיר לפיד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,עידן רוליאיר לפיד
"הצעת חוק זכויות, שירותים והתאמות בחינוך לילדים עם צרכים מיוחדים, התשף-2020""",kirill2785@gmail.com,פ/323/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086252,שיטה שבה כופים על בית הספר לקבל את התלמיד ולספק לו תנאים מעבר למה שנותנים לתלמידים אחרים (כמו יום לימודים ארוך),,0,0,קארין אלהרר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,קארין אלהרר
"הצעת חוק הבטחת הכנסה (תיקון - הגדלת הגמלה), התשף-2020""",dup_laws_bot,פ/324/23,-2,https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2086108,נראה חוק ששופך עוד מיליארדים של קצבאות בלי מקורות מימון ראה חוק פ/1017/22 https://main.knesset.gov.il/Activity/Legislation/Laws/Pages/LawBill.aspx?t=lawsuggestionssearch&lawitemid=2083164,,1,0,אלכס קושניר,עודד פורר,חמד עמאר,יבגני סובה,יוליה מלינובסקי קונין,אלי אבידר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,אלכס קושנירעודד פוררחמד עמאריבגני סובהיוליה מלינובסקי קוניןאלי אבידר
